序号,学校名称,学校标识码,主管部门,所在省份,学校性质
52,内蒙古开放大学,4215051192,内蒙古自治区,内蒙古自治区,
53,辽宁兵器工业职工大学,4221051087,辽宁省,辽宁省,
54,大连工人大学,4221051110,辽宁省,辽宁省,
55,空军第四职工大学,4221051117,空军装备部,辽宁省,
56,海军职工大学,4221051118,海军装备部,辽宁省,
57,大连职工大学,4221051120,辽宁省,辽宁省,
58,抚顺矿务局职工工学院,4221051125,辽宁省,辽宁省,
59,抚顺石油化工公司职工大学,4221051126,辽宁省,辽宁省,
60,阜新矿务局职工大学,4221051138,辽宁省,辽宁省,
61,朝阳职工工学院,4221051143,辽宁省,辽宁省,
62,大连市教育学院,4221051149,辽宁省,辽宁省,
63,辽宁开放大学,4221051196,辽宁省,辽宁省,
64,阜新煤炭职工医学专科学校,4221051227,辽宁省,辽宁省,
65,辽宁冶金职工大学,4221051695,辽宁省,辽宁省,
66,辽宁公安司法管理干部学院,4221051842,辽宁省,辽宁省,
67,沈阳机械工业职工大学,4221051843,辽宁省,辽宁省,
68,鞍山钢铁集团公司职工大学,4221051845,辽宁省,辽宁省,
69,沈阳开放大学,4221051848,辽宁省,辽宁省,
70,大连开放大学,4221051849,辽宁省,辽宁省,
71,长春职工大学,4222050226,吉林省,吉林省,
72,长春市建筑职工业余大学,4222050229,吉林省,吉林省,
73,长春职工医科大学,4222050232,吉林省,吉林省,
74,吉林市职工大学,4222050234,吉林省,吉林省,
75,吉林化学工业公司职工大学,4222050236,吉林省,吉林省,
76,通化市职工大学,4222050242,吉林省,吉林省,
77,通化钢铁公司职工大学,4222050243,吉林省,吉林省,
78,四平农村成人高等专科学校,4222050249,吉林省,吉林省,
79,吉林省教育学院,4222050252,吉林省,吉林省,
80,长春教育学院,4222050253,吉林省,吉林省,
81,吉林开放大学,4222051230,吉林省,吉林省,
82,吉林省经济管理干部学院,4222051243,吉林省,吉林省,
83,吉林职工医科大学,4222051704,吉林省,吉林省,
84,长春开放大学,4222051887,吉林省,吉林省,
85,黑龙江兵器工业职工大学,4223050264,黑龙江省,黑龙江省,
86,哈尔滨航空职工大学,4223050266,黑龙江省,黑龙江省,
87,哈尔滨市职工大学,4223050269,黑龙江省,黑龙江省,
88,齐齐哈尔市建设职工大学,4223050306,黑龙江省,黑龙江省,
89,齐齐哈尔市职工大学,4223050311,黑龙江省,黑龙江省,
90,鹤岗矿务局职工大学,4223050327,黑龙江省,黑龙江省,
91,大庆石油化工总厂职工大学,4223050330,黑龙江省,黑龙江省,
92,黑龙江农垦管理干部学院,4223050337,黑龙江省,黑龙江省,
93,黑龙江省经济管理干部学院,4223050335,黑龙江省,黑龙江省,
94,黑龙江省政法管理干部学院,4223050343,黑龙江省,黑龙江省,
95,黑龙江省教育学院,4223050344,黑龙江省,黑龙江省,
96,绥化市教育学院,4223050349,黑龙江省,黑龙江省,
97,黑龙江开放大学,4223051244,黑龙江省,黑龙江省,
98,黑龙江省商业职工大学,4223051744,黑龙江省,黑龙江省,
99,黑龙江省社会科学院职工大学,4223051745,黑龙江省,黑龙江省,
100,哈尔滨开放大学,4223051876,黑龙江省,黑龙江省,
101,上海科技管理干部学院,4231050033,上海市,上海市,
102,上海市黄浦区业余大学,4231050363,上海市,上海市,
103,上海市徐汇区业余大学,4231050366,上海市,上海市,
104,上海市长宁区业余大学,4231050367,上海市,上海市,
105,上海市静安区业余大学,4231050368,上海市,上海市,
106,上海市普陀区业余大学,4231050369,上海市,上海市,
107,上海市杨浦区业余大学,4231050372,上海市,上海市,
108,上海纺织工业职工大学,4231050393,上海市,上海市,
109,上海医药职工大学,4231050424,上海市,上海市,
110,上海开放大学,4231051252,上海市,上海市,
111,上海青年管理干部学院,4231051615,上海市,上海市,
112,上海市宝山区业余大学,4231051852,上海市,上海市,
113,南京市职工大学,4232050460,江苏省,江苏省,
114,空军第一职工大学,4232050461,空军装备部,江苏省,
115,南通市工人业余大学,4232050504,江苏省,江苏省,
116,扬州教育学院,4232050526,江苏省,江苏省,
117,江苏开放大学,4232051255,江苏省,江苏省,
118,江苏省省级机关管理干部学院,4232051257,江苏省,江苏省,
119,南京开放大学,4232051396,江苏省,江苏省,
120,江苏省青年管理干部学院,4232051828,江苏省,江苏省,
121,浙江省省级机关职工业余大学,4233050550,浙江省,浙江省,
122,杭州市工人业余大学,4233050551,浙江省,浙江省,
123,温州市工人业余大学,4233050554,浙江省,浙江省,
124,金华教育学院,4233050561,浙江省,浙江省,
125,浙江开放大学,4233051258,浙江省,浙江省,
126,浙江经济管理职工大学,4233051259,浙江省,浙江省,
127,浙江嘉兴教育学院,4233051814,浙江省,浙江省,
128,宁波开放大学,4233051885,浙江省,浙江省,
129,淮南市职工大学,4234050565,安徽省,安徽省,
130,合肥职工科技大学,4234050569,安徽省,安徽省,
131,合肥市职工大学,4234050570,安徽省,安徽省,
132,安徽经济管理干部学院,4234050581,安徽省,安徽省,
133,宿州教育学院,4234051265,安徽省,安徽省,
134,安徽开放大学,4234051388,安徽省,安徽省,
135,福建教育学院,4235050591,福建省,福建省,
136,福建开放大学,4235051270,福建省,福建省,
137,厦门开放大学,4235051833,福建省,福建省,
138,江西行政管理干部学院,4236050151,江西省,江西省,
139,昌河职工工学院,4236050603,江西省,江西省,
140,南昌钢铁有限责任公司职工大学,4236050607,江西省,江西省,
141,江西开放大学,4236051281,江西省,江西省,
142,江西经济管理干部学院,4236051285,江西省,江西省,
143,山东省水利职工大学,4237050626,山东省,山东省,
144,山东兵器工业职工大学,4237050638,山东省,山东省,
145,新汶矿务局职工大学,4237050641,山东省,山东省,
146,济南市职工大学,4237050644,山东省,山东省,
147,山东省经济管理干部学院,4237050649,山东省,山东省,
148,山东省聊城教育学院,4237050661,山东省,山东省,
149,山东省济宁教育学院,4237050663,山东省,山东省,
150,山东开放大学,4237051286,山东省,山东省,
151,兖州矿区职工大学,4237051777,山东省,山东省,
152,山东财政职工大学,4237051779,山东省,山东省,
153,青岛开放大学,4237051858,山东省,山东省,
154,长城铝业公司职工工学院,4241050673,河南省,河南省,
155,郑州市职工大学,4241050674,河南省,河南省,
156,第一拖拉机制造厂拖拉机学院,4241050680,河南省,河南省,
157,洛阳轴承职工大学,4241050682,河南省,河南省,
158,洛阳有色金属职工大学,4241050686,河南省,河南省,
159,开封空分设备厂职工大学,4241050688,河南省,河南省,
160,河南开放大学,4241051287,河南省,河南省,
161,焦作职工医学院,4241051408,河南省,河南省,
162,磨料磨具工业职工大学,4241051411,河南省,河南省,
163,驻马店教育学院,4241051413,河南省,河南省,
164,武汉开放大学,4242050046,湖北省,湖北省,
165,湖北兵器工业职工大学,4242050717,湖北省,湖北省,
166,湖北省纺织职工大学,4242050733,湖北省,湖北省,
167,鄂城钢铁厂职工大学,4242050738,湖北省,湖北省,
168,丹江口工程管理局职工大学,4242050740,湖北省,湖北省,
169,湖北省直属机关业余大学,4242050742,湖北省,湖北省,
170,湖北省经济管理干部学院,4242050756,湖北省,湖北省,
171,十堰教育学院,4242050762,湖北省,湖北省,
172,大冶钢厂职工大学,4242051297,湖北省,湖北省,
173,湖北开放大学,4242051305,湖北省,湖北省,
174,武汉冶金管理干部学院,4242051773,湖北省,湖北省,
175,湖北武汉公安管理干部学院,4242051774,湖北省,湖北省,
176,华中电业联合职工大学,4242051862,湖北省,湖北省,
177,涟源钢铁总厂职工大学,4243050774,湖南省,湖南省,
178,株洲市职工大学,4243050788,湖南省,湖南省,
179,湖南航空工业职工工学院,4243050793,湖南省,湖南省,
180,中钢集团衡阳重机职工大学,4243050794,湖南省,湖南省,
181,衡阳工业职工大学,4243050798,湖南省,湖南省,
182,长沙教育学院,4243050810,湖南省,湖南省,
183,湘潭教育学院,4243050812,湖南省,湖南省,
184,湖南开放大学,4243051306,湖南省,湖南省,
185,益阳教育学院,4243051310,湖南省,湖南省,
186,湖南金融技术职工大学,4243051766,湖南省,湖南省,
187,湖南纺织职工大学,4243051767,湖南省,湖南省,
188,长沙工业职工大学,4243050784,湖南省,湖南省,
189,广州金桥管理干部学院,4244050075,广东省,广东省,
190,南海成人学院,4244050079,广东省,广东省,
191,湛江市业余大学,4244050821,广东省,广东省,
192,广东省国防工业职工大学,4244050826,广东省,广东省,
193,汕头市业余大学,4244050835,广东省,广东省,
194,韶关市职工大学,4244050837,广东省,广东省,
195,广州市公安管理干部学院,4244050855,广东省,广东省,
196,广东省公安司法管理干部学院,4244050859,广东省,广东省,
197,广东开放大学,4244051315,广东省,广东省,
198,广东新华教育学院,4244051317,广东省教育厅,广东省,民办
199,广东省职工体育运动技术学院,4244051319,广东省,广东省,
200,广东社会科学大学,4244051320,广东省,广东省,
201,广州开放大学,4244051393,广东省,广东省,
202,深圳开放大学,4244051888,广东省,广东省,
203,桂林市职工大学,4245050867,广西壮族自治区,广西壮族自治区,
204,广西教育学院,4245050870,广西壮族自治区,广西壮族自治区,
205,广西开放大学,4245051338,广西壮族自治区,广西壮族自治区,
206,广西政法管理干部学院,4245051340,广西壮族自治区,广西壮族自治区,
207,海南开放大学,4246051865,海南省,海南省,
208,重庆电力职工大学,4250050901,重庆市,重庆市,
209,重庆冶金成人学院,4250050905,重庆市,重庆市,
210,重庆开放大学,4250051866,重庆市,重庆市,
211,四川科技职工大学,4251050081,四川省,四川省,
212,中国工程物理研究院职工工学院,4251050879,四川省,四川省,
213,国营涪江机器厂职工大学,4251050885,四川省,四川省,
214,成都冶金职工大学,4251050907,四川省,四川省,
215,第五冶金建设公司职工大学,4251050908,四川省,四川省,
216,成都工业职工大学,4251050913,四川省,四川省,
217,四川省化工职工大学,4251050919,四川省,四川省,
218,中国科学院成都分院职工大学,4251050928,中国科学院,四川省,
219,广元职工医学院,4251050930,四川省,四川省,
220,南充市职工大学,4251050932,四川省,四川省,
221,四川开放大学,4251051341,四川省,四川省,
222,成都市职工大学,4251051758,四川省,四川省,
223,成都开放大学,4251051886,四川省,四川省,
224,贵州铝厂职工大学,4252050962,贵州省,贵州省,
225,贵州机械工业职工大学,4252050965,贵州省,贵州省,
226,贵州开放大学,4252051352,贵州省,贵州省,
227,云南开放大学,4253051357,云南省,云南省,
228,陕西航天职工大学,4261050083,陕西省,陕西省,
229,西安航空职工大学,4261050989,陕西省,陕西省,
230,西安飞机工业公司职工工学院,4261050990,陕西省,陕西省,
231,陕西兵器工业职工大学,4261051001,陕西省,陕西省,
232,西北电业职工大学,4261051002,陕西省,陕西省,
233,西安铁路工程职工大学,4261051006,陕西省,陕西省,
234,西安电力机械制造公司机电学院,4261051009,陕西省,陕西省,
235,陕西省建筑工程总公司职工大学,4261051010,陕西省,陕西省,
236,西安市职工大学,4261051017,陕西省,陕西省,
237,宝鸡市职工大学,4261051018,陕西省,陕西省,
238,陕西省宝鸡教育学院,4261051027,陕西省,陕西省,
239,陕西开放大学,4261051370,陕西省,陕西省,
240,陕西工运学院,4261051373,陕西省,陕西省,
241,西安开放大学,4261051871,陕西省,陕西省,
242,兰州铁路工程职工大学,4262051039,甘肃省,甘肃省,
243,甘肃核工业职工大学,4262051040,甘肃省,甘肃省,
244,银光化学材料厂职工大学,4262051042,甘肃省,甘肃省,
245,甘肃开放大学,4262051374,甘肃省,甘肃省,
246,青海省联合职工大学,4263051049,青海省,青海省,
247,青海开放大学,4263051382,青海省,青海省,
248,宁夏开放大学,4264051383,宁夏回族自治区,宁夏回族自治区,
249,新疆生产建设兵团开放大学,4265051210,新疆生产建设兵团,新疆维吾尔自治区,
250,新疆开放大学,4265051387,新疆维吾尔自治区,新疆维吾尔自治区,
251,喀什教育学院,4265051594,新疆维吾尔自治区,新疆维吾尔自治区,
252,新疆生产建设兵团教育学院,4265051595,新疆生产建设兵团,新疆维吾尔自治区,
253,和田地区教育学院,4265051599,新疆维吾尔自治区,新疆维吾尔自治区,
254,阿克苏教育学院,4265051717,新疆维吾尔自治区,新疆维吾尔自治区,
